"id","title","year","language","authors"
"txu.059173017985965","El brigadier conde de Argelejo y su expedicio?n militar a Fernando Poo en 1778. Pro?logo del Sr. D. Jose? Di?az de Villegas.","1948","spa","Cencillo de Pineda, Manuel"
"umn.31951d02027474j","Cistaceas espanolas : con exclusion del genero Cistus / por Emilio Guinea.","1954","spa","Guinea L?pez, Emilio"
"uc1.b2805819","Cartas de la Guinea.","1940","spa","Miranda, Agusti?n"
"coo.31924001316268","Ensayo geobota?nico de la Guinea continental espan?ola [por el] Prof. Dr. Emilio Guinea Lo?pez.","1946","spa","Guinea Lo?pez, Emilio"
"inu.30000001668155","Los bubis en Fernando Poo : coleccio?n de los arti?culos publicados en la revista colonial La Guinea espan?ola / Antonio Aymemi?.","1942","spa","Aymemi?, Antonio"
"uc1.$b750058","Las generosas y primitivas empresas de Manuel Iradier Bulfy en la Guinea Espa?ola; el hombre y sus hechos.","1954","spa","Maj? Framis, Ricardo; Patronato Diego Saavedra Fajardo Instituto de Estudios Africanos"
"uc1.$b47092","El re?gimen juri?dico-financiero colonial, reflexiones en torno al re?gimen juri?dico-financiero de la Guinea Espan?ola","1946","spa",""
"uc1.b3426002","Los Bujeba (Bis?io?) de la Guinea Espao?la; contribucio?n al estudio del negro africano.","1956","spa",""
"coo.31924002949042","El bosque de la Guinea; exploracio?n y explotacio?n.","1947","spa","Capdevielle San Martin, Juan M"
"coo.31924018334304","Estudio sobre los Aderidae (coleo?pteros Hetero?meros) Xylophilidae, Hylophilidae sive Euglenidae. Primer ensayo para una nueva ordencio?n de la familia y estudio de las especies africanas, particularmente de las de los Territorios Espan?oles del Golfo de Guinea. Pro?logo del D. Gonzalo Ceballos.","1948","spa","Ba?guena Corella, Luis; Instituto de Estudios Africanos (Consejo Superior de Investigaciones Cienti?ficas (Spain))"
"inu.30000113438190","Tingidos de la Guinea Espa?ola.","1955","spa",""
"uc1.b3551353","Climatolog?a de los territorios espa?oles del Golfo de Guinea.","1942","spa","Nosti, Jaime; Spain Direcci?n General de Marruecos y Coloniales"
"uc1.b3428348","Estudio del proceso te?cnico de la cera?mica fang (Guinea Espan?ola y Camarones) y su relacio?n con la estructura social [por] Augusto Panyella y Jorge Sabater.","1955","spa","Panyella, Augusto; Sabater, Jorge"
"uc1.b4519381","Historia de la accio?n cultural en la Guinea Espan?ola, con notas sobre la ensen?anza en el Africa negra. Pro?logo del Sr. D. Juan M.a Bonelli y Rubio.","1948","spa","Spain Direccio?n General de Marruecos y Colonias"
"mdp.39015010369893","La selva humillada.","1951","spa","Soler, Bartolom? 1894-1975"
"uc1.b3425238","Esquema de etnologi?a de los fang ntumu de la Guinea Espan?ola.","1959","spa","Panyella, Augusto"
"uc1.b4468478","G?nesis de suelos y concreciones en la Guinea continental espa?ola.","1958","spa","Al?as P?rez, Luis Josafat"
"mdp.39015033923759","Notas geogr?ficas, f?sicas y econ?micas sobre los territorios espa?oles del Golfo de Guinea.","1947","spa","Nosti, Jaime"
"uc1.b3209839","En el pai?s de los bubis, relato ilustrado de mi primer viaje a Fernando Po?o.","1949","spa","Guinea Lo?pez, Emilio"
"uc1.$b583314","Geograf?a hist?rica de la Isla de Fernando Poo. Pr?logo de Jos? M. Cordero Torres.","1947","spa",""
"uc1.b3853891","Primera contribucio?n al conocimiento de las maderas de la Guinea Continental Espan?ola.","1947","spa","Fu?ster Riera, Pedro; Instituto de Estudios Africanos (Consejo Superior de Investigaciones Cienti?ficas (Spain)); Spanish Guinea Servicio Forestal"
"coo.31924004050146","Estudio petrogene?tico de los volcanes del Golfo de Guinea.","1954","spa","Fuster Casas, Jose? Mari?a"
"coo.31924000119838","Caza y pesca en Annobon; aves de la isla, la pesca de la ballena.","1957","spa","Basilio, Aurelio"
"uc1.b3853890","Primera contribucio?n al conocimiento de las maderas de la Guinea Continental Espan?ola.","1947","spa","Fu?ster Riera, Pedro; Instituto de Estudios Africanos (Consejo Superior de Investigaciones Cienti?ficas (Spain)); Spanish Guinea Servicio Forestal"
"uc1.b3794619","Datos geomorfolo?gicos de la Guinea Continental Espan?ola.","1951","spa",""
"inu.39000005813113","Leyendas y mitos de Guinea. Pro?logo [por] Antonio de la Nuez Caballero.","1951","spa",""
"uc1.b3842835","La selva virgen de Guinea y sus variantes; resumen geobota?nico.","1954","spa",""
"uc1.b3426152","Impresiones dermopapilares en indi?genas de la Guinea Espan?ola en relacio?n con otras poblaciones.","1952","spa",""
"uc1.$b577665","Rese?a historica en la presencia de Espa?a en el Golfo de Guinea.","1952","spa",""
"coo.31924001035124","Agricultura de Guinea, promesa para Espan?a.","1948","spa","Nosti, Jaime; Instituto de Estudios Africanos (Consejo Superior de Investigaciones Cienti?ficas (Spain))"
"uc1.b3427162","El nin?o guineano, estudio antropome?trico y psicote?cnico del nin?o negro.","1956","spa",""
"uc1.b3425243","En el pai?s de los pa?mues (relato ilustrado de mi primer viaje a la Guinea Espan?ola)","1947","spa","Instituto de Estudios Africanos (Consejo Superior de Investigaciones Cienti?ficas (Spain))"
"uc1.$b615200","El clima de las posesiones espan?olas del Golfo de Guinea.","1951","spa",""
"mdp.39015058551956","Tierra negra.","1957","spa","Manfredi Cano, Domingo"
"uc1.$b577662","Toponimia de la Guinea Continental Espa?ola. Pr?logo del Sr. don Jos? D?az de Villegas.","1947","spa",""
"uc1.b3239573","Historia de la acci?n cultural en la Guinea Espa?ola, con notas sobre la ense?anza en el Africa negra.","1948","spa","Alvarez Garc?a, Heriberto Ram?n; Spain Direcci?n General de Marruecos y Colonias"
"uc1.b3271275","Indice legislativo de Guinea.","1944","spa","Equatorial Guinea; Martos Avila, Francisco; Instituto de Estudios Pol?ticos (Spain)"
"mdp.39015069576422","Estudio petrogr?fico de la Guinea Continental Espa?ola.","1951","spa","Fuster Casas, Jos? Mar?a"
"coo.31924018358444","Los taladros de cacaoteros, cafetos y otros cultivos en Guinea Espan?ola.","1949","spa","Ba?guena Corella, Luis"
"osu.32437000293262","","","",""
